year,sex,age,highest_qualification,unemployed
2010,male,15-29,primary and below,500
2010,male,15-29,lower secondary,1200
2010,male,15-29,secondary,3300
2010,male,15-29,post-secondary (non-tertiary),3100
2010,male,15-29,diploma and professional qualification,3400
2010,male,15-29,degree,3300
2010,male,30-39,primary and below,1000
2010,male,30-39,lower secondary,700
2010,male,30-39,secondary,1500
2010,male,30-39,post-secondary (non-tertiary),1200
2010,male,30-39,diploma and professional qualification,1400
2010,male,30-39,degree,3100
2010,male,40-49,primary and below,2400
2010,male,40-49,lower secondary,1100
2010,male,40-49,secondary,1300
2010,male,40-49,post-secondary (non-tertiary),1000
2010,male,40-49,diploma and professional qualification,1200
2010,male,40-49,degree,1800
2010,male,50 and over,primary and below,3800
2010,male,50 and over,lower secondary,2500
2010,male,50 and over,secondary,2400
2010,male,50 and over,post-secondary (non-tertiary),1100
2010,male,50 and over,diploma and professional qualification,1300
2010,male,50 and over,degree,1500
2010,female,15-29,primary and below,500
2010,female,15-29,lower secondary,500
2010,female,15-29,secondary,3700
2010,female,15-29,post-secondary (non-tertiary),3000
2010,female,15-29,diploma and professional qualification,4200
2010,female,15-29,degree,5400
2010,female,30-39,primary and below,300
2010,female,30-39,lower secondary,500
2010,female,30-39,secondary,1200
2010,female,30-39,post-secondary (non-tertiary),700
2010,female,30-39,diploma and professional qualification,1100
2010,female,30-39,degree,4100
2010,female,40-49,primary and below,1500
2010,female,40-49,lower secondary,1100
2010,female,40-49,secondary,2000
2010,female,40-49,post-secondary (non-tertiary),800
2010,female,40-49,diploma and professional qualification,1000
2010,female,40-49,degree,1500
2010,female,50 and over,primary and below,1900
2010,female,50 and over,lower secondary,1100
2010,female,50 and over,secondary,1800
2010,female,50 and over,post-secondary (non-tertiary),600
2010,female,50 and over,diploma and professional qualification,700
2010,female,50 and over,degree,300
2011,male,15-29,primary and below,300
2011,male,15-29,lower secondary,1000
2011,male,15-29,secondary,2900
2011,male,15-29,post-secondary (non-tertiary),1700
2011,male,15-29,diploma and professional qualification,3300
2011,male,15-29,degree,3400
2011,male,30-39,primary and below,400
2011,male,30-39,lower secondary,900
2011,male,30-39,secondary,1300
2011,male,30-39,post-secondary (non-tertiary),900
2011,male,30-39,diploma and professional qualification,1300
2011,male,30-39,degree,2800
2011,male,40-49,primary and below,1200
2011,male,40-49,lower secondary,1100
2011,male,40-49,secondary,1100
2011,male,40-49,post-secondary (non-tertiary),900
2011,male,40-49,diploma and professional qualification,1200
2011,male,40-49,degree,2100
2011,male,50 and over,primary and below,3600
2011,male,50 and over,lower secondary,2500
2011,male,50 and over,secondary,3000
2011,male,50 and over,post-secondary (non-tertiary),1700
2011,male,50 and over,diploma and professional qualification,1500
2011,male,50 and over,degree,1700
2011,female,15-29,primary and below,300
2011,female,15-29,lower secondary,1200
2011,female,15-29,secondary,3400
2011,female,15-29,post-secondary (non-tertiary),2700
2011,female,15-29,diploma and professional qualification,3400
2011,female,15-29,degree,4600
2011,female,30-39,primary and below,700
2011,female,30-39,lower secondary,700
2011,female,30-39,secondary,1500
2011,female,30-39,post-secondary (non-tertiary),700
2011,female,30-39,diploma and professional qualification,1200
2011,female,30-39,degree,3700
2011,female,40-49,primary and below,1300
2011,female,40-49,lower secondary,1100
2011,female,40-49,secondary,2900
2011,female,40-49,post-secondary (non-tertiary),900
2011,female,40-49,diploma and professional qualification,1000
2011,female,40-49,degree,1200
2011,female,50 and over,primary and below,2200
2011,female,50 and over,lower secondary,1100
2011,female,50 and over,secondary,1800
2011,female,50 and over,post-secondary (non-tertiary),800
2011,female,50 and over,diploma and professional qualification,700
2011,female,50 and over,degree,400
2012,male,15-29,primary and below,600
2012,male,15-29,lower secondary,600
2012,male,15-29,secondary,2600
2012,male,15-29,post-secondary (non-tertiary),2300
2012,male,15-29,diploma and professional qualification,2800
2012,male,15-29,degree,4000
2012,male,30-39,primary and below,300
2012,male,30-39,lower secondary,300
2012,male,30-39,secondary,1200
2012,male,30-39,post-secondary (non-tertiary),800
2012,male,30-39,diploma and professional qualification,1000
2012,male,30-39,degree,1900
2012,male,40-49,primary and below,1100
2012,male,40-49,lower secondary,600
2012,male,40-49,secondary,1300
2012,male,40-49,post-secondary (non-tertiary),1200
2012,male,40-49,diploma and professional qualification,900
2012,male,40-49,degree,2400
2012,male,50 and over,primary and below,4200
2012,male,50 and over,lower secondary,1900
2012,male,50 and over,secondary,3100
2012,male,50 and over,post-secondary (non-tertiary),1100
2012,male,50 and over,diploma and professional qualification,1400
2012,male,50 and over,degree,1800
2012,female,15-29,primary and below,200
2012,female,15-29,lower secondary,1000
2012,female,15-29,secondary,1800
2012,female,15-29,post-secondary (non-tertiary),2900
2012,female,15-29,diploma and professional qualification,4400
2012,female,15-29,degree,4500
2012,female,30-39,primary and below,500
2012,female,30-39,lower secondary,400
2012,female,30-39,secondary,1200
2012,female,30-39,post-secondary (non-tertiary),900
2012,female,30-39,diploma and professional qualification,1500
2012,female,30-39,degree,3900
2012,female,40-49,primary and below,1400
2012,female,40-49,lower secondary,900
2012,female,40-49,secondary,2300
2012,female,40-49,post-secondary (non-tertiary),800
2012,female,40-49,diploma and professional qualification,1000
2012,female,40-49,degree,1300
2012,female,50 and over,primary and below,2700
2012,female,50 and over,lower secondary,1200
2012,female,50 and over,secondary,2600
2012,female,50 and over,post-secondary (non-tertiary),1000
2012,female,50 and over,diploma and professional qualification,400
2012,female,50 and over,degree,600
2013,male,15-29,primary and below,100
2013,male,15-29,lower secondary,700
2013,male,15-29,secondary,2200
2013,male,15-29,post-secondary (non-tertiary),2800
2013,male,15-29,diploma and professional qualification,2800
2013,male,15-29,degree,3900
2013,male,30-39,primary and below,400
2013,male,30-39,lower secondary,300
2013,male,30-39,secondary,1200
2013,male,30-39,post-secondary (non-tertiary),800
2013,male,30-39,diploma and professional qualification,1500
2013,male,30-39,degree,2500
2013,male,40-49,primary and below,1000
2013,male,40-49,lower secondary,700
2013,male,40-49,secondary,1500
2013,male,40-49,post-secondary (non-tertiary),500
2013,male,40-49,diploma and professional qualification,1000
2013,male,40-49,degree,2900
2013,male,50 and over,primary and below,3500
2013,male,50 and over,lower secondary,2100
2013,male,50 and over,secondary,3000
2013,male,50 and over,post-secondary (non-tertiary),1600
2013,male,50 and over,diploma and professional qualification,1500
2013,male,50 and over,degree,2100
2013,female,15-29,primary and below,600
2013,female,15-29,lower secondary,700
2013,female,15-29,secondary,2800
2013,female,15-29,post-secondary (non-tertiary),2100
2013,female,15-29,diploma and professional qualification,4600
2013,female,15-29,degree,5600
2013,female,30-39,primary and below,600
2013,female,30-39,lower secondary,500
2013,female,30-39,secondary,1100
2013,female,30-39,post-secondary (non-tertiary),700
2013,female,30-39,diploma and professional qualification,2100
2013,female,30-39,degree,4300
2013,female,40-49,primary and below,800
2013,female,40-49,lower secondary,900
2013,female,40-49,secondary,1900
2013,female,40-49,post-secondary (non-tertiary),700
2013,female,40-49,diploma and professional qualification,1400
2013,female,40-49,degree,2500
2013,female,50 and over,primary and below,2500
2013,female,50 and over,lower secondary,1200
2013,female,50 and over,secondary,2200
